type,rank_group,rank_absolute,domain,title,url,contact_url,hotel_rating,price_level,snippet,address,place_id,phone,main_image,total_photos,category,additional_categories,category_ids,feature_id,cid,latitude,longitude,is_claimed,local_justifications,is_directory_item,rating_rating_type,rating_value,rating_votes_count,rating_rating_max,rating_distribution_1,rating_distribution_2,rating_distribution_3,rating_distribution_4,rating_distribution_5,address_info_borough,address_info_address,address_info_city,address_info_zip,address_info_region,address_info_country_code,work_hours_timetable_sunday,work_hours_timetable_monday,work_hours_timetable_tuesday,work_hours_timetable_wednesday,work_hours_timetable_thursday,work_hours_timetable_friday,work_hours_timetable_saturday,work_hours_current_status,work_hours_timetable,rating,rating_distribution
maps_search,1,1,,Accra High School,,,,,"Kenneth Kaunda Rd, Accra","Kenneth Kaunda Rd, Accra",ChIJI27_m0GZ3w8R9K-mEeF4Ihw,+233302224737,https://lh5.googleusercontent.com/p/AF1QipNYhcgeHj8_NXdCp7jdeSzAzuXS64RfIYmoM996=w408-h306-k-no,102.0,Senior high school,,['senior_high_school'],0xfdf99419bff6e23:0x1c2278e111a6aff4,2027315690329255924,5.5675617,-0.19991779999999998,True,,False,Max5,4.2,162.0,,10.0,4.0,15.0,40.0,93.0,Osu Klottey,Kenneth Kaunda Rd,Accra,,,GH,,"[{'open': {'hour': 8, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 8, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 8, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 8, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 8, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]",,open,,,
maps_search,2,2,ebenezer-shs.edu.gh,Ebenezer Senior High School,https://ebenezer-shs.edu.gh/,,,,"120 Botoi Shienyo Street, Mpoase, Accra","120 Botoi Shienyo Street, Mpoase, Accra",ChIJ43PnnLqX3w8RJ0pPru8NvoI,+233302986227,https://lh5.googleusercontent.com/p/AF1QipP5dLR3gVbihD1kI-0exZv_bq7mGvUvVITcXjUj=w426-h240-k-no,45.0,Senior high school,['High school'],"['senior_high_school', 'high_school']",0xfdf97ba9ce773e3:0x82be0defae4f4a27,9420982793578433063,5.529950899999999,-0.2715107,False,,False,Max5,4.1,136.0,,10.0,6.0,22.0,19.0,79.0,Ablekuma,"120 Botoi Shienyo Street, Mpoase",Accra,,,GH,,"[{'open': {'hour': 9, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 9, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 9, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 9, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 9, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]",,open,,,
maps_search,3,3,www.laboneshs.org,Labone Senior High School,https://www.laboneshs.org/,,,,"Josiah Tongoogari Link, Accra","Josiah Tongoogari Link, Accra",ChIJy2Xj-p6a3w8R2ucDV127R08,+233540843351,https://lh5.googleusercontent.com/p/AF1QipNpv1tr2kdAJAwVyQ-f8EGZXifNuhNkhet8UZs7=w408-h271-k-no,55.0,Senior high school,,['senior_high_school'],0xfdf9a9efae365cb:0x4f47bb5d5703e7da,5712740661908989914,5.5644744,-0.17125569999999998,True,,False,Max5,4.4,202.0,,8.0,6.0,18.0,34.0,136.0,Kpeshie,Josiah Tongoogari Link,Accra,,,GH,,"[{'open': {'hour': 7, 'minute': 0}, 'close': {'hour': 18, 'minute': 0}}]","[{'open': {'hour': 7, 'minute': 0}, 'close': {'hour': 18, 'minute': 0}}]","[{'open': {'hour': 7, 'minute': 0}, 'close': {'hour': 18, 'minute': 0}}]","[{'open': {'hour': 7, 'minute': 0}, 'close': {'hour': 18, 'minute': 0}}]","[{'open': {'hour': 7, 'minute': 0}, 'close': {'hour': 18, 'minute': 0}}]","[{'open': {'hour': 8, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]",open,,,
maps_search,4,4,www.facebook.com,St. Thomas Aquinas Senior High School,https://www.facebook.com/AquinasOldToms/,,,,"Cantonments Rd, Accra","Cantonments Rd, Accra",ChIJNVIpA5Ca3w8RuY-0rIZLC9w,+233302776801,https://lh5.googleusercontent.com/p/AF1QipPn2czkUAePo4Ww1PqdSuVP4wCmDUKTw77rIYDz=w408-h271-k-no,207.0,Senior high school,['High school'],"['senior_high_school', 'high_school']",0xfdf9a9003295235:0xdc0b4b86acb48fb9,15855849954883178425,5.5733139,-0.1778093,True,,False,Max5,4.6,248.0,,8.0,2.0,8.0,43.0,187.0,Kpeshie,Cantonments Rd,Accra,,,GH,,,,,,,,close,,,
maps_search,5,5,,St. Mary's Senior High School,,,,,"GQPG+8QC, Nii Tackie Owuowuo St, Accra","GQPG+8QC, Nii Tackie Owuowuo St, Accra",ChIJqf6PfsuQ3w8Rrr3sO51s67E,+233302663042,https://lh5.googleusercontent.com/p/AF1QipON4jW7f9DyLdUnOhKfX5O23sZTiKk_tUAb6itE=w426-h240-k-no,55.0,Senior high school,['High school'],"['senior_high_school', 'high_school']",0xfdf90cb7e8ffea9:0xb1eb6c9d3becbdae,12820460186811284910,5.5358215,-0.2231153,False,,False,Max5,4.4,88.0,,1.0,4.0,8.0,18.0,57.0,Ablekuma,"GQPG+8QC, Nii Tackie Owuowuo St",Accra,,,GH,,"[{'open': {'hour': 5, 'minute': 0}, 'close': {'hour': 18, 'minute': 0}}]","[{'open': {'hour': 5, 'minute': 0}, 'close': {'hour': 18, 'minute': 0}}]","[{'open': {'hour': 5, 'minute': 0}, 'close': {'hour': 18, 'minute': 0}}]","[{'open': {'hour': 5, 'minute': 0}, 'close': {'hour': 18, 'minute': 0}}]","[{'open': {'hour': 5, 'minute': 0}, 'close': {'hour': 18, 'minute': 0}}]","[{'open': {'hour': 5, 'minute': 0}, 'close': {'hour': 18, 'minute': 0}}]",open,,,
maps_search,6,6,presetshs.com,Preset Pacesetters Senior High School,https://presetshs.com/,,,,"Firestone, Madina, Accra","Firestone, Madina, Accra",ChIJdYIU-Oyc3w8RQ-hPMHeGjOc,+233246467089,https://lh5.googleusercontent.com/p/AF1QipMSkje_E7ecLY8lVJnBZmW0xQ5m1Ru7bXu_QeFB=w408-h544-k-no,451.0,Senior high school,,['senior_high_school'],0xfdf9cecf8148275:0xe78c8677304fe843,16684858565970618435,5.6695008,-0.1750795,True,,False,Max5,4.4,55.0,,3.0,4.0,2.0,5.0,41.0,,"Firestone, Madina",Accra,,,GH,,"[{'open': {'hour': 7, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 7, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 7, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 7, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 7, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 7, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]",open,,,
maps_search,7,7,,Odorgonno Secondary School,,,,,"Anyaa-Awoshie Rd, Accra","Anyaa-Awoshie Rd, Accra",ChIJFSFSgmiY3w8RjLYpsEDv3Fs,+233244502350,https://lh5.googleusercontent.com/p/AF1QipNwdcwUZZdRIKCwDAMFqGwU4EciS21ryn28Q4lT=w408-h272-k-no,93.0,Senior high school,['High school'],"['senior_high_school', 'high_school']",0xfdf986882522115:0x5bdcef40b029b68c,6619428613440255628,5.5925177,-0.2837203,True,,False,Max5,4.2,292.0,,17.0,7.0,33.0,76.0,159.0,,Anyaa-Awoshie Rd,Accra,,,GH,,,,,,,,close,,,
maps_search,8,8,,O'Reilly Senior High School,,,,,Accra,Accra,ChIJH4M_ZYuE3w8RlOVoYKccXD8,+233208177270,https://lh5.googleusercontent.com/p/AF1QipPRYwmL_RpFC3zzou8dU_7qGYc-lvsUQKkNjmcA=w408-h544-k-no,96.0,Senior high school,['High school'],"['senior_high_school', 'high_school']",0xfdf848b653f831f:0x3f5c1ca76068e594,4565555627449443732,5.6267727999999995,-0.1163636,True,,False,Max5,4.3,99.0,,7.0,1.0,12.0,17.0,62.0,Kpeshie,,Accra,,,GH,,"[{'open': {'hour': 0, 'minute': 0}, 'close': {'hour': 0, 'minute': 0}}]","[{'open': {'hour': 0, 'minute': 0}, 'close': {'hour': 0, 'minute': 0}}]","[{'open': {'hour': 0, 'minute': 0}, 'close': {'hour': 0, 'minute': 0}}]","[{'open': {'hour': 0, 'minute': 0}, 'close': {'hour': 0, 'minute': 0}}]","[{'open': {'hour': 0, 'minute': 0}, 'close': {'hour': 0, 'minute': 0}}]",,open,,,
maps_search,9,9,,Accra Girls Senior High School,,,,,"Olusegun Obasanjo Wy, Accra","Olusegun Obasanjo Wy, Accra",ChIJbRy_FVGa3w8RehWQOdo63qU,+233303942281,https://lh5.googleusercontent.com/p/AF1QipMf3nfdTuz2VvGF1p7y_4lk8fcbXY4bpyhgviQv=w426-h240-k-no,114.0,Senior high school,['High school'],"['senior_high_school', 'high_school']",0xfdf9a5115bf1c6d:0xa5de3ada3990157a,11952055170030900602,5.5969834,-0.1929681,True,,False,Max5,4.3,197.0,,8.0,7.0,14.0,54.0,114.0,Ayawaso,Olusegun Obasanjo Wy,Accra,,,GH,"[{'open': {'hour': 8, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 8, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 8, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 8, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 8, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 8, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 8, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]",open,,,
maps_search,10,10,,Nungua Senior High School,,,,,Accra,Accra,ChIJh0O9WtOF3w8RQm4yKFRUanA,,https://lh5.googleusercontent.com/p/AF1QipMXlA-E2TfDAKRoCO99n2HFnyQew-XLNmIQXqBm=w426-h240-k-no,284.0,Senior high school,['High school'],"['senior_high_school', 'high_school']",0xfdf85d35abd4387:0x706a545428326e42,8100379600207638082,5.6028215,-0.0796955,True,,False,Max5,4.4,276.0,,9.0,4.0,35.0,54.0,174.0,Kpeshie,,Accra,,,GH,,"[{'open': {'hour': 6, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 6, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 6, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 6, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]","[{'open': {'hour': 6, 'minute': 0}, 'close': {'hour': 17, 'minute': 0}}]",,open,,,
